open,high,low,close,volume,symbol,time_stamp,datetime,date,date_stamp,created_at,updated_at,trade,amount,type
9320.9,9323.9,9320.9,9321.2,6.17872038,OKEX.BTC-USDT,1592589660,2020-06-20 02:01:00,2020-06-20,1592582400,1617199497,1617199497,1,57592.161597998995,1min
9315.0,9321.8,9314.5,9321.3,41.86087686,OKEX.BTC-USDT,1592589600,2020-06-20 02:00:00,2020-06-20,1592582400,1617199497,1617199497,1,390065.929713009,1min
9313.1,9316.8,9313.1,9315.0,24.24700229,OKEX.BTC-USDT,1592589540,2020-06-20 01:59:00,2020-06-20,1592582400,1617199497,1617199497,1,225837.7916791745,1min
9315.2,9315.2,9313.0,9313.0,56.320027,OKEX.BTC-USDT,1592589480,2020-06-20 01:58:00,2020-06-20,1592582400,1617199497,1617199497,1,524570.3634807001,1min
9320.1,9320.5,9313.7,9315.7,56.42608758,OKEX.BTC-USDT,1592589420,2020-06-20 01:57:00,2020-06-20,1592582400,1617199497,1617199497,1,525772.641461682,1min
9317.5,9320.8,9316.1,9320.1,76.99274216,OKEX.BTC-USDT,1592589360,2020-06-20 01:56:00,2020-06-20,1592582400,1617199497,1617199497,1,717479.965640608,1min
9323.0,9323.0,9318.0,9318.0,25.68153345,OKEX.BTC-USDT,1592589300,2020-06-20 01:55:00,2020-06-20,1592582400,1617199497,1617199497,1,239364.732520725,1min
9328.3,9328.3,9323.6,9323.7,174.71548246,OKEX.BTC-USDT,1592589240,2020-06-20 01:54:00,2020-06-20,1592582400,1617199497,1617199497,1,1629396.58942196,1min
9324.0,9330.0,9324.0,9328.3,24.01149829,OKEX.BTC-USDT,1592589180,2020-06-20 01:53:00,2020-06-20,1592582400,1617199497,1617199497,1,223934.83477728348,1min
9323.6,9324.0,9323.6,9324.0,87.3619158,OKEX.BTC-USDT,1592589120,2020-06-20 01:52:00,2020-06-20,1592582400,1617199497,1617199497,1,814545.03053604,1min
9319.1,9323.1,9318.4,9323.1,39.40779775,OKEX.BTC-USDT,1592589060,2020-06-20 01:51:00,2020-06-20,1592582400,1617199497,1617199497,1,367324.02360752504,1min
9319.1,9319.6,9318.5,9319.2,22.04177128,OKEX.BTC-USDT,1592589000,2020-06-20 01:50:00,2020-06-20,1592582400,1617199497,1617199497,1,205410.57282401202,1min
9320.9,9320.9,9319.0,9319.1,48.77374017,OKEX.BTC-USDT,1592588940,2020-06-20 01:49:00,2020-06-20,1592582400,1617199497,1617199497,1,454571.25838440005,1min
9320.4,9322.3,9320.4,9321.2,72.39733283,OKEX.BTC-USDT,1592588880,2020-06-20 01:48:00,2020-06-20,1592582400,1617199497,1617199497,1,674801.0598418639,1min
9318.9,9322.2,9317.9,9320.4,30.80112515,OKEX.BTC-USDT,1592588820,2020-06-20 01:47:00,2020-06-20,1592582400,1617199497,1617199497,1,287055.7060041975,1min
9322.4,9322.5,9318.9,9318.9,16.95446938,OKEX.BTC-USDT,1592588760,2020-06-20 01:46:00,2020-06-20,1592582400,1617199497,1617199497,1,158026.675026697,1min
9326.1,9326.2,9322.9,9322.9,4.98247823,OKEX.BTC-USDT,1592588700,2020-06-20 01:45:00,2020-06-20,1592582400,1617199497,1617199497,1,46459.118255634996,1min
9323.1,9326.2,9323.1,9326.1,23.74495096,OKEX.BTC-USDT,1592588640,2020-06-20 01:44:00,2020-06-20,1592582400,1617199497,1617199497,1,221412.16972161602,1min
9319.6,9323.1,9319.2,9323.1,81.61572941,OKEX.BTC-USDT,1592588580,2020-06-20 01:43:00,2020-06-20,1592582400,1617199497,1617199497,1,760768.7793359036,1min
9317.6,9319.9,9317.6,9319.6,14.02357971,OKEX.BTC-USDT,1592588520,2020-06-20 01:42:00,2020-06-20,1592582400,1617199497,1617199497,1,130680.129885606,1min
9322.9,9322.9,9317.5,9317.5,19.35147614,OKEX.BTC-USDT,1592588460,2020-06-20 01:41:00,2020-06-20,1592582400,1617199497,1617199497,1,180359.627920028,1min
9325.0,9325.0,9322.9,9322.9,3.17689883,OKEX.BTC-USDT,1592588400,2020-06-20 01:40:00,2020-06-20,1592582400,1617199497,1617199497,1,29621.2458459785,1min
9323.7,9329.5,9323.7,9325.4,60.95242922,OKEX.BTC-USDT,1592588340,2020-06-20 01:39:00,2020-06-20,1592582400,1617199497,1617199497,1,568353.973883351,1min
9323.0,9323.8,9319.1,9323.1,35.75085414,OKEX.BTC-USDT,1592588280,2020-06-20 01:38:00,2020-06-20,1592582400,1617199497,1617199497,1,333307.00068992696,1min
9318.1,9326.3,9318.1,9323.0,14.3844076,OKEX.BTC-USDT,1592588220,2020-06-20 01:37:00,2020-06-20,1592582400,1617199497,1617199497,1,134070.59025617997,1min
9312.5,9321.4,9311.1,9318.1,69.23910608,OKEX.BTC-USDT,1592588160,2020-06-20 01:36:00,2020-06-20,1592582400,1617199497,1617199497,1,644983.044867024,1min
9307.8,9312.5,9307.8,9312.5,25.37033483,OKEX.BTC-USDT,1592588100,2020-06-20 01:35:00,2020-06-20,1592582400,1617199497,1617199497,1,236201.6228175245,1min
9302.2,9307.7,9300.0,9307.2,37.10927852,OKEX.BTC-USDT,1592588040,2020-06-20 01:34:00,2020-06-20,1592582400,1617199497,1617199497,1,345290.703845044,1min
9301.1,9307.1,9301.1,9302.2,25.22690368,OKEX.BTC-USDT,1592587980,2020-06-20 01:33:00,2020-06-20,1592582400,1617199497,1617199497,1,234651.82861507204,1min
9300.9,9305.9,9297.2,9300.8,82.93973867,OKEX.BTC-USDT,1592587920,2020-06-20 01:32:00,2020-06-20,1592582400,1617199497,1617199497,1,771410.0684088693,1min
9296.8,9307.7,9296.8,9301.4,97.076962,OKEX.BTC-USDT,1592587860,2020-06-20 01:31:00,2020-06-20,1592582400,1617199497,1617199497,1,902728.3773341998,1min
9312.0,9312.0,9290.5,9296.8,145.56431566,OKEX.BTC-USDT,1592587800,2020-06-20 01:30:00,2020-06-20,1592582400,1617199497,1617199497,1,1354388.618626904,1min
9314.5,9314.5,9312.0,9312.0,27.33744635,OKEX.BTC-USDT,1592587740,2020-06-20 01:29:00,2020-06-20,1592582400,1617199497,1617199497,1,254600.4722191375,1min
