open,high,low,close,volume,symbol,time_stamp,datetime,date,date_stamp,created_at,updated_at,trade,amount,type
13682.9,13689.6,13682.9,13689.6,0.11842364,OKEX.BTC-USDT,1604162160,2020-11-01 00:36:00,2020-11-01,1604160000,1617201584,1617201584,1,1620.77554295,1min
13677.6,13680.9,13677.6,13680.9,3.73848112,OKEX.BTC-USDT,1604162100,2020-11-01 00:35:00,2020-11-01,1604160000,1617201584,1617201584,1,51139.61786076,1min
13674.1,13677.6,13674.1,13677.6,0.5040512,OKEX.BTC-USDT,1604162040,2020-11-01 00:34:00,2020-11-01,1604160000,1617201584,1617201584,1,6893.328603520001,1min
13676.2,13676.2,13668.3,13674.1,7.55603162,OKEX.BTC-USDT,1604161980,2020-11-01 00:33:00,2020-11-01,1604160000,1617201584,1617201584,1,103329.865808243,1min
13677,13677,13671.1,13672.8,0.84216911,OKEX.BTC-USDT,1604161920,2020-11-01 00:32:00,2020-11-01,1604160000,1617201584,1617201584,1,11516.578362339,1min
13676,13679.7,13673.6,13674.6,5.86821023,OKEX.BTC-USDT,1604161860,2020-11-01 00:31:00,2020-11-01,1604160000,1617201584,1617201584,1,80249.535358319,1min
13682.2,13682.2,13673.8,13676,2.92891263,OKEX.BTC-USDT,1604161800,2020-11-01 00:30:00,2020-11-01,1604160000,1617201584,1617201584,1,40064.888757033004,1min
13691.2,13691.2,13682,13682.3,2.31619121,OKEX.BTC-USDT,1604161740,2020-11-01 00:29:00,2020-11-01,1604160000,1617201584,1617201584,1,31701.1300434675,1min
13690.2,13691.3,13687.5,13691.3,0.50725878,OKEX.BTC-USDT,1604161680,2020-11-01 00:28:00,2020-11-01,1604160000,1617201584,1617201584,1,6944.753142285001,1min
13695.9,13697.7,13690.3,13690.3,0.37848326,OKEX.BTC-USDT,1604161620,2020-11-01 00:27:00,2020-11-01,1604160000,1617201584,1617201584,1,5182.609127505999,1min
13693.7,13694.5,13690.4,13694.4,1.4104886,OKEX.BTC-USDT,1604161560,2020-11-01 00:26:00,2020-11-01,1604160000,1617201584,1617201584,1,19315.301412830002,1min
13699.9,13703.5,13684,13693.7,35.79495125,OKEX.BTC-USDT,1604161500,2020-11-01 00:25:00,2020-11-01,1604160000,1617201584,1617201584,1,490276.2882809999,1min
13700,13700,13698.3,13700,3.54790041,OKEX.BTC-USDT,1604161440,2020-11-01 00:24:00,2020-11-01,1604160000,1617201584,1617201584,1,48606.235617,1min
13697,13700,13694.9,13700,0.67864227,OKEX.BTC-USDT,1604161380,2020-11-01 00:23:00,2020-11-01,1604160000,1617201584,1617201584,1,9296.381135595,1min
13695.5,13697.2,13695.5,13697.1,0.11350753,OKEX.BTC-USDT,1604161320,2020-11-01 00:22:00,2020-11-01,1604160000,1617201584,1617201584,1,1554.6331831389998,1min
13695.5,13699.1,13695.4,13695.5,0.19608535,OKEX.BTC-USDT,1604161260,2020-11-01 00:21:00,2020-11-01,1604160000,1617201584,1617201584,1,2685.486910925,1min
13694.2,13696.5,13691.8,13695.5,3.94897843,OKEX.BTC-USDT,1604161200,2020-11-01 00:20:00,2020-11-01,1604160000,1617201584,1617201584,1,54080.6672520855,1min
13700,13700,13687.4,13694.3,5.22004658,OKEX.BTC-USDT,1604161140,2020-11-01 00:19:00,2020-11-01,1604160000,1617201584,1617201584,1,71499.761013247,1min
13700,13700,13699.8,13699.9,3.44282585,OKEX.BTC-USDT,1604161080,2020-11-01 00:18:00,2020-11-01,1604160000,1617201584,1617201584,1,47166.5420037075,1min
13696.6,13700,13696.6,13699.9,9.34358113,OKEX.BTC-USDT,1604161020,2020-11-01 00:17:00,2020-11-01,1604160000,1617201584,1617201584,1,127990.7102140225,1min
13691.4,13695.2,13689.5,13693.7,110.40919469,OKEX.BTC-USDT,1604160960,2020-11-01 00:16:00,2020-11-01,1604160000,1617201584,1617201584,1,1511783.4187525595,1min
13692.1,13692.8,13689.7,13691.5,4.36561056,OKEX.BTC-USDT,1604160900,2020-11-01 00:15:00,2020-11-01,1604160000,1617201584,1617201584,1,59773.066665408005,1min
13692.8,13692.8,13687.5,13692.2,10.27789659,OKEX.BTC-USDT,1604160840,2020-11-01 00:14:00,2020-11-01,1604160000,1617201584,1617201584,1,140730.099058575,1min
13699.3,13699.3,13692.8,13692.8,4.18364456,OKEX.BTC-USDT,1604160780,2020-11-01 00:13:00,2020-11-01,1604160000,1617201584,1617201584,1,57299.405075988,1min
13695.4,13700,13695,13699.3,0.47200346,OKEX.BTC-USDT,1604160720,2020-11-01 00:12:00,2020-11-01,1604160000,1617201584,1617201584,1,6465.196592830999,1min
13691.6,13696.9,13691.6,13694.3,0.74272312,OKEX.BTC-USDT,1604160660,2020-11-01 00:11:00,2020-11-01,1604160000,1617201584,1617201584,1,10170.070546004,1min
13698.8,13704.3,13690.1,13692.2,11.04064081,OKEX.BTC-USDT,1604160600,2020-11-01 00:10:00,2020-11-01,1604160000,1617201584,1617201584,1,151207.096213355,1min
13701.9,13703.3,13693.3,13696.3,7.15063733,OKEX.BTC-USDT,1604160540,2020-11-01 00:09:00,2020-11-01,1604160000,1617201584,1617201584,1,97957.29584740299,1min
