,param,equity_curve
112,"[30, 0.5, 0.3]",3.42177740994784e-25
113,"[30, 0.5, 0.6]",3.4682727436581623e-25
114,"[30, 0.5, 0.7]",3.4682727436581623e-25
115,"[30, 0.5, 0.8]",3.4682727436581623e-25
116,"[30, 0.5, 0.9]",3.4682727436581623e-25
117,"[10, 1.4, 0.1]",1.0740685868321975e-22
118,"[10, 1.4, 0.4]",1.0740685868321975e-22
119,"[10, 1.4, 0.3]",1.0740685868321975e-22
120,"[10, 1.4, 0.2]",1.0740685868321975e-22
121,"[10, 1.4, 0.5]",1.2354022551720052e-22
122,"[10, 1.4, 0.6]",1.3379665928759087e-22
123,"[10, 1.4, 0.7]",1.3379665928759087e-22
124,"[10, 1.4, 0.8]",1.3379665928759087e-22
125,"[10, 1.4, 0.9]",1.3379665928759087e-22
126,"[20, 0.8, 0.1]",2.9564383613592985e-22
127,"[20, 0.8, 0.2]",2.9564383613592985e-22
128,"[20, 0.8, 0.3]",2.9564383613592985e-22
129,"[20, 0.8, 0.4]",2.9564383613592985e-22
130,"[20, 0.8, 0.5]",2.9564383613592985e-22
131,"[20, 0.8, 0.6]",3.1214107545673933e-22
132,"[20, 0.8, 0.7]",3.1214107545673933e-22
133,"[20, 0.8, 0.8]",3.1214107545673933e-22
134,"[20, 0.8, 0.9]",3.1214107545673933e-22
135,"[30, 0.6, 0.1]",2.2310806128401458e-20
136,"[30, 0.6, 0.2]",2.2310806128401458e-20
137,"[30, 0.6, 0.3]",2.2310806128401458e-20
138,"[30, 0.6, 0.4]",2.2310806128401458e-20
139,"[30, 0.6, 0.5]",2.2310806128401458e-20
140,"[30, 0.6, 0.7]",2.3207998981141396e-20
141,"[30, 0.6, 0.9]",2.3207998981141396e-20
142,"[30, 0.6, 0.6]",2.3207998981141396e-20
143,"[30, 0.6, 0.8]",2.3207998981141396e-20
144,"[10, 1.5, 0.1]",5.105519507931301e-20
145,"[10, 1.5, 0.2]",5.105519507931301e-20
146,"[10, 1.5, 0.4]",5.105519507931301e-20
147,"[10, 1.5, 0.3]",5.105519507931301e-20
148,"[10, 1.5, 0.5]",5.784834328140493e-20
149,"[10, 1.5, 0.7]",6.066660393270552e-20
150,"[10, 1.5, 0.8]",6.066660393270552e-20
151,"[10, 1.5, 0.6]",6.066660393270552e-20
152,"[10, 1.5, 0.9]",6.066660393270552e-20
153,"[20, 0.9, 0.1]",6.0814098830803464e-18
154,"[20, 0.9, 0.2]",6.0814098830803464e-18
155,"[20, 0.9, 0.4]",6.0814098830803464e-18
156,"[20, 0.9, 0.3]",6.0814098830803464e-18
157,"[20, 0.9, 0.5]",6.0814098830803464e-18
158,"[20, 0.9, 0.7]",6.420758998422525e-18
159,"[20, 0.9, 0.6]",6.420758998422525e-18
160,"[20, 0.9, 0.8]",6.420758998422525e-18
161,"[20, 0.9, 0.9]",6.420758998422525e-18
162,"[10, 1.6, 0.1]",8.595380189437557e-18
163,"[10, 1.6, 0.2]",8.595380189437557e-18
164,"[10, 1.6, 0.4]",8.595380189437557e-18
165,"[10, 1.6, 0.3]",8.595380189437557e-18
166,"[10, 1.6, 0.5]",9.724642401911326e-18
167,"[10, 1.6, 0.7]",1.0023248316636342e-17
168,"[10, 1.6, 0.9]",1.0023248316636342e-17
169,"[10, 1.6, 0.6]",1.0023248316636342e-17
170,"[10, 1.6, 0.8]",1.0023248316636342e-17
171,"[40, 0.5, 0.7]",1.7010935254695227e-17
172,"[40, 0.5, 0.6]",1.7010935254695227e-17
173,"[40, 0.5, 0.8]",1.7010935254695227e-17
174,"[40, 0.5, 0.9]",1.7010935254695227e-17
175,"[40, 0.5, 0.1]",1.771936549992384e-17
176,"[40, 0.5, 0.2]",1.771936549992384e-17
177,"[40, 0.5, 0.3]",1.771936549992384e-17
178,"[40, 0.5, 0.4]",1.771936549992384e-17
179,"[40, 0.5, 0.5]",1.771936549992384e-17
180,"[30, 0.7, 0.2]",2.2223902235661833e-16
181,"[30, 0.7, 0.1]",2.2223902235661833e-16
182,"[30, 0.7, 0.3]",2.2223902235661833e-16
183,"[30, 0.7, 0.4]",2.2223902235661833e-16
184,"[30, 0.7, 0.5]",2.2223902235661833e-16
185,"[30, 0.7, 0.6]",2.2863651658607904e-16
186,"[30, 0.7, 0.7]",2.2863651658607904e-16
187,"[30, 0.7, 0.9]",2.2863651658607904e-16
188,"[30, 0.7, 0.8]",2.2863651658607904e-16
189,"[20, 1.0, 0.1]",3.2247282172357736e-15
190,"[20, 1.0, 0.2]",3.2247282172357736e-15
191,"[20, 1.0, 0.4]",3.2247282172357736e-15
192,"[20, 1.0, 0.3]",3.2247282172357736e-15
193,"[20, 1.0, 0.5]",3.2247282172357736e-15
194,"[20, 1.0, 0.6]",3.4046714686819064e-15
195,"[20, 1.0, 0.8]",3.4046714686819064e-15
196,"[20, 1.0, 0.9]",3.4046714686819064e-15
197,"[20, 1.0, 0.7]",3.4046714686819064e-15
198,"[10, 1.7, 0.2]",4.2098792403196526e-15
199,"[10, 1.7, 0.3]",4.2098792403196526e-15
200,"[10, 1.7, 0.1]",4.2098792403196526e-15
201,"[10, 1.7, 0.4]",4.2098792403196526e-15
202,"[10, 1.7, 0.5]",4.670170748433095e-15
203,"[10, 1.7, 0.6]",4.8135735133496075e-15
204,"[10, 1.7, 0.7]",4.8135735133496075e-15
205,"[10, 1.7, 0.8]",4.8135735133496075e-15
206,"[10, 1.7, 0.9]",4.8135735133496075e-15
207,"[50, 0.5, 0.2]",1.444789693859891e-14
208,"[50, 0.5, 0.1]",1.444789693859891e-14
