open,high,low,close,volume,symbol,time_stamp,datetime,date,date_stamp,created_at,updated_at,trade,amount,type
33831.3,33831.3,33806.8,33807.8,2.28022783,OKEX.BTC-USDT,1612207080,2021-02-02 03:18:00,2021-02-02,1612195200,1617198334,1617198334,1,77116.2791080765,1min
33831,33851.8,33815.2,33838.5,2.0160083,OKEX.BTC-USDT,1612207020,2021-02-02 03:17:00,2021-02-02,1612195200,1617198334,1617198334,1,68211.136828425,1min
33862.5,33862.5,33810.4,33822.5,3.14275901,OKEX.BTC-USDT,1612206960,2021-02-02 03:16:00,2021-02-02,1612195200,1617198334,1617198334,1,106358.82179592499,1min
33838.7,33863.2,33837.5,33863.2,1.66858328,OKEX.BTC-USDT,1612206900,2021-02-02 03:15:00,2021-02-02,1612195200,1617198334,1617198334,1,56483.129182116,1min
33854.8,33854.8,33811.4,33829.1,1.72347633,OKEX.BTC-USDT,1612206840,2021-02-02 03:14:00,2021-02-02,1612195200,1617198334,1617198334,1,58325.79978604349,1min
33869.2,33896.8,33850.7,33850.7,4.9662008,OKEX.BTC-USDT,1612206780,2021-02-02 03:13:00,2021-02-02,1612195200,1617198334,1617198334,1,168155.31077796,1min
33899.1,33911.8,33879,33880.2,3.08878247,OKEX.BTC-USDT,1612206720,2021-02-02 03:12:00,2021-02-02,1612195200,1617198334,1617198334,1,104677.75683443548,1min
33889.4,33906.4,33850.7,33903.1,2.65800934,OKEX.BTC-USDT,1612206660,2021-02-02 03:11:00,2021-02-02,1612195200,1617198334,1617198334,1,90096.549090975,1min
33904.2,33946.8,33893.2,33893.2,2.45323381,OKEX.BTC-USDT,1612206600,2021-02-02 03:10:00,2021-02-02,1612195200,1617198334,1617198334,1,83161.43695504699,1min
33925,33925.8,33893.9,33902.9,3.49086478,OKEX.BTC-USDT,1612206540,2021-02-02 03:09:00,2021-02-02,1612195200,1617198334,1617198334,1,118389.01360568099,1min
33956.4,33957.6,33925.3,33928.1,2.21733287,OKEX.BTC-USDT,1612206480,2021-02-02 03:08:00,2021-02-02,1612195200,1617198334,1617198334,1,75261.26660675749,1min
33912.3,33966.5,33912.3,33953.6,2.97592478,OKEX.BTC-USDT,1612206420,2021-02-02 03:07:00,2021-02-02,1612195200,1617198334,1617198334,1,100981.906763501,1min
33838.2,33926.8,33838.2,33911.8,3.64064486,OKEX.BTC-USDT,1612206360,2021-02-02 03:06:00,2021-02-02,1612195200,1617198334,1617198334,1,123326.8446325,1min
