open,high,low,close,volume,symbol,time_stamp,datetime,date,date_stamp,created_at,updated_at,trade,amount,type
55076.3,55190,55064.4,55153,14.60019755,OKEX.BTC-USDT,1613761920,2021-02-20 03:12:00,2021-02-20,1613750400,1617200865,1617200865,1,804684.7778991075,1min
55173.1,55191.9,55065.2,55070.9,7.29489217,OKEX.BTC-USDT,1613761860,2021-02-20 03:11:00,2021-02-20,1613750400,1617200865,1617200865,1,402109.04619474,1min
55327.3,55327.3,55125,55176.5,11.18845526,OKEX.BTC-USDT,1613761800,2021-02-20 03:10:00,2021-02-20,1613750400,1617200865,1617200865,1,618183.411179994,1min
55332.6,55382.9,55284.1,55327.4,6.12039992,OKEX.BTC-USDT,1613761740,2021-02-20 03:09:00,2021-02-20,1613750400,1617200865,1617200865,1,338641.72757359996,1min
55391.6,55426.9,55300.1,55326,7.28953784,OKEX.BTC-USDT,1613761680,2021-02-20 03:08:00,2021-02-20,1613750400,1617200865,1617200865,1,403540.067376992,1min
55415,55415.1,55262,55392.2,13.36881319,OKEX.BTC-USDT,1613761620,2021-02-20 03:07:00,2021-02-20,1613750400,1617200865,1617200865,1,740680.3784534839,1min
55442,55508.8,55352.2,55412.3,9.02669476,OKEX.BTC-USDT,1613761560,2021-02-20 03:06:00,2021-02-20,1613750400,1617200865,1617200865,1,500323.964466734,1min
55541.2,55568.4,55319.8,55458.8,13.8235537,OKEX.BTC-USDT,1613761500,2021-02-20 03:05:00,2021-02-20,1613750400,1617200865,1617200865,1,767207.23035,1min
55628.4,55636,55465.5,55541.1,15.47220176,OKEX.BTC-USDT,1613761440,2021-02-20 03:04:00,2021-02-20,1613750400,1617200865,1617200865,1,860018.4667791601,1min
55653.4,55665.9,55591.9,55634.6,12.67498991,OKEX.BTC-USDT,1613761380,2021-02-20 03:03:00,2021-02-20,1613750400,1617200865,1617200865,1,705287.1385520401,1min
55564,55660.1,55510.2,55653.4,21.34299266,OKEX.BTC-USDT,1613761320,2021-02-20 03:02:00,2021-02-20,1613750400,1617200865,1617200865,1,1186856.0759321419,1min
55437.3,55585.8,55377.8,55566.2,35.54429938,OKEX.BTC-USDT,1613761260,2021-02-20 03:01:00,2021-02-20,1613750400,1617200865,1617200865,1,1972770.818113915,1min
55330.5,55493.4,55326,55449.7,22.1015074,OKEX.BTC-USDT,1613761200,2021-02-20 03:00:00,2021-02-20,1613750400,1617200865,1617200865,1,1224204.7050367398,1min
55272.6,55387,55268.7,55330.5,17.58070344,OKEX.BTC-USDT,1613761140,2021-02-20 02:59:00,2021-02-20,1613750400,1617200865,1617200865,1,972240.150322332,1min
55348.5,55387.9,55201.7,55246.8,45.00051438,OKEX.BTC-USDT,1613761080,2021-02-20 02:58:00,2021-02-20,1613750400,1617200865,1617200865,1,2488422.694005207,1min
55243.5,55377.1,55173.1,55347.9,61.71086345,OKEX.BTC-USDT,1613761020,2021-02-20 02:57:00,2021-02-20,1613750400,1617200865,1617200865,1,3412345.392072165,1min
55104,55262.8,55087,55237.5,20.00644308,OKEX.BTC-USDT,1613760960,2021-02-20 02:56:00,2021-02-20,1613750400,1617200865,1617200865,1,1103770.46955591,1min
55157.2,55250,55092.3,55107.9,19.67198357,OKEX.BTC-USDT,1613760900,2021-02-20 02:55:00,2021-02-20,1613750400,1617200865,1617200865,1,1084566.6177722034,1min
55090.2,55194,55090.2,55159.4,9.10378447,OKEX.BTC-USDT,1613760840,2021-02-20 02:54:00,2021-02-20,1613750400,1617200865,1617200865,1,501844.29815185606,1min
55177.1,55187.9,55019.3,55082.6,23.40831374,OKEX.BTC-USDT,1613760780,2021-02-20 02:53:00,2021-02-20,1613750400,1617200865,1617200865,1,1290496.825239139,1min
55000,55178.9,54999.9,55175.5,49.83279389,OKEX.BTC-USDT,1613760720,2021-02-20 02:52:00,2021-02-20,1613750400,1617200865,1617200865,1,2745176.491613847,1min
54974.4,55000,54956.9,55000,23.17560282,OKEX.BTC-USDT,1613760660,2021-02-20 02:51:00,2021-02-20,1613750400,1617200865,1617200865,1,1274361.507383904,1min
54974.6,54991.6,54907.2,54974.2,5.75027068,OKEX.BTC-USDT,1613760600,2021-02-20 02:50:00,2021-02-20,1613750400,1617200865,1617200865,1,316117.68047059193,1min
54865.2,55000,54865.2,54974.7,39.46655149,OKEX.BTC-USDT,1613760540,2021-02-20 02:49:00,2021-02-20,1613750400,1617200865,1617200865,1,2167501.0345032252,1min
54892.7,54895.2,54818.2,54847.7,9.6875143,OKEX.BTC-USDT,1613760480,2021-02-20 02:48:00,2021-02-20,1613750400,1617200865,1617200865,1,531555.84714386,1min
54840.3,54892.7,54835.2,54892.7,0.9435322,OKEX.BTC-USDT,1613760420,2021-02-20 02:47:00,2021-02-20,1613750400,1617200865,1617200865,1,51768.3094513,1min
54770.6,54871.6,54770.5,54834.6,6.90865075,OKEX.BTC-USDT,1613760360,2021-02-20 02:46:00,2021-02-20,1613750400,1617200865,1617200865,1,378612.02359194995,1min
54751,54771.3,54744.6,54770.5,0.37790093,OKEX.BTC-USDT,1613760300,2021-02-20 02:45:00,2021-02-20,1613750400,1617200865,1617200865,1,20694.138352497503,1min
54728.3,54770,54728.3,54759,1.70445641,OKEX.BTC-USDT,1613760240,2021-02-20 02:44:00,2021-02-20,1613750400,1617200865,1617200865,1,93308.1651492965,1min
54714.3,54733.5,54714.3,54728.2,0.66030694,OKEX.BTC-USDT,1613760180,2021-02-20 02:43:00,2021-02-20,1613750400,1617200865,1617200865,1,36132.821140475,1min
54709.9,54737.6,54699.7,54714.2,3.02087672,OKEX.BTC-USDT,1613760120,2021-02-20 02:42:00,2021-02-20,1613750400,1617200865,1617200865,1,165278.358148476,1min
54750.7,54765.2,54680.1,54703.7,1.33815289,OKEX.BTC-USDT,1613760060,2021-02-20 02:41:00,2021-02-20,1613750400,1617200865,1617200865,1,73233.360841608,1min
54763.8,54770,54743.4,54755.9,0.41079674,OKEX.BTC-USDT,1613760000,2021-02-20 02:40:00,2021-02-20,1613750400,1617200865,1617200865,1,22495.167862889,1min
54705.7,54776.1,54705.7,54763.8,2.09452311,OKEX.BTC-USDT,1613759940,2021-02-20 02:39:00,2021-02-20,1613750400,1617200865,1617200865,1,114643.1987950725,1min
54683.7,54737.2,54656,54709.5,2.91066754,OKEX.BTC-USDT,1613759880,2021-02-20 02:38:00,2021-02-20,1613750400,1617200865,1617200865,1,159203.618168364,1min
54739.5,54759,54641.6,54674,4.70197473,OKEX.BTC-USDT,1613759820,2021-02-20 02:37:00,2021-02-20,1613750400,1617200865,1617200865,1,257229.7560604275,1min
54758.3,54782.5,54728.4,54744.6,1.23446972,OKEX.BTC-USDT,1613759760,2021-02-20 02:36:00,2021-02-20,1613750400,1617200865,1617200865,1,67589.007151094,1min
54693.9,54760,54663.4,54728.5,3.02908007,OKEX.BTC-USDT,1613759700,2021-02-20 02:35:00,2021-02-20,1613750400,1617200865,1617200865,1,165724.605525784,1min
54897.9,54930.8,54653.5,54681.5,26.21336977,OKEX.BTC-USDT,1613759640,2021-02-20 02:34:00,2021-02-20,1613750400,1617200865,1617200865,1,1436222.665687369,1min
54792.4,54898,54789.9,54898,20.2763056,OKEX.BTC-USDT,1613759580,2021-02-20 02:33:00,2021-02-20,1613750400,1617200865,1617200865,1,1112058.0358931199,1min
54781.2,54797.4,54776.7,54797.4,0.67430445,OKEX.BTC-USDT,1613759520,2021-02-20 02:32:00,2021-02-20,1613750400,1617200865,1617200865,1,36944.66880238501,1min
54775.6,54782.1,54747.5,54781.1,2.00057182,OKEX.BTC-USDT,1613759460,2021-02-20 02:31:00,2021-02-20,1613750400,1617200865,1617200865,1,109588.02335609698,1min
54775.2,54775.5,54747.3,54771.5,1.76197015,OKEX.BTC-USDT,1613759400,2021-02-20 02:30:00,2021-02-20,1613750400,1617200865,1617200865,1,96509.00771550249,1min
54801.1,54804.8,54780.8,54782.1,2.83191466,OKEX.BTC-USDT,1613759340,2021-02-20 02:29:00,2021-02-20,1613750400,1617200865,1617200865,1,155165.135284856,1min
54776.9,54822.5,54776.9,54797.6,3.55685836,OKEX.BTC-USDT,1613759280,2021-02-20 02:28:00,2021-02-20,1613750400,1617200865,1617200865,1,194870.48818391,1min
54804.9,54811.1,54750.8,54763.3,1.96316046,OKEX.BTC-USDT,1613759220,2021-02-20 02:27:00,2021-02-20,1613750400,1617200865,1617200865,1,107549.97895668601,1min
54808.7,54814.9,54781.5,54807.9,2.79659352,OKEX.BTC-USDT,1613759160,2021-02-20 02:26:00,2021-02-20,1613750400,1617200865,1617200865,1,153276.53662221602,1min
54806.5,54809.9,54788.3,54808.6,1.37807772,OKEX.BTC-USDT,1613759100,2021-02-20 02:25:00,2021-02-20,1613750400,1617200865,1617200865,1,75529.06354278601,1min
54719.2,54829.4,54717.1,54801.4,7.41086566,OKEX.BTC-USDT,1613759040,2021-02-20 02:24:00,2021-02-20,1613750400,1617200865,1617200865,1,405821.22680129803,1min
54710,54746.1,54662.7,54716.7,2.20394296,OKEX.BTC-USDT,1613758980,2021-02-20 02:23:00,2021-02-20,1613750400,1617200865,1617200865,1,120585.10255051599,1min
54813.5,54830.1,54703.8,54716.5,4.07254034,OKEX.BTC-USDT,1613758920,2021-02-20 02:22:00,2021-02-20,1613750400,1617200865,1617200865,1,223032.67172009998,1min
54683,54836.2,54679.8,54812.1,7.11486685,OKEX.BTC-USDT,1613758860,2021-02-20 02:21:00,2021-02-20,1613750400,1617200865,1617200865,1,389521.5286137175,1min
54691,54691,54661.1,54676.6,2.09572178,OKEX.BTC-USDT,1613758800,2021-02-20 02:20:00,2021-02-20,1613750400,1617200865,1617200865,1,114602.030673164,1min
54654.2,54700,54654.2,54691.1,2.68185722,OKEX.BTC-USDT,1613758740,2021-02-20 02:19:00,2021-02-20,1613750400,1617200865,1617200865,1,146624.241139033,1min
54636.8,54654.1,54607.9,54654.1,1.11506909,OKEX.BTC-USDT,1613758680,2021-02-20 02:18:00,2021-02-20,1613750400,1617200865,1617200865,1,60933.45220414049,1min
54600.8,54660.5,54590.1,54636.8,6.10732006,OKEX.BTC-USDT,1613758620,2021-02-20 02:17:00,2021-02-20,1613750400,1617200865,1617200865,1,333574.492893128,1min
54615,54615,54590.2,54600.8,0.82692708,OKEX.BTC-USDT,1613758560,2021-02-20 02:16:00,2021-02-20,1613750400,1617200865,1617200865,1,45156.751291932,1min
54557,54611.6,54557,54611.6,2.39448555,OKEX.BTC-USDT,1613758500,2021-02-20 02:15:00,2021-02-20,1613750400,1617200865,1617200865,1,130701.31760686502,1min
54537.4,54579.9,54530.2,54564.3,2.26637767,OKEX.BTC-USDT,1613758440,2021-02-20 02:14:00,2021-02-20,1613750400,1617200865,1617200865,1,123632.8283195195,1min
54581.1,54591.2,54523.5,54545,6.04023537,OKEX.BTC-USDT,1613758380,2021-02-20 02:13:00,2021-02-20,1613750400,1617200865,1617200865,1,329573.6645050785,1min
54629.1,54629.7,54583.3,54593.6,2.13822825,OKEX.BTC-USDT,1613758320,2021-02-20 02:12:00,2021-02-20,1613750400,1617200865,1617200865,1,116771.5313406375,1min
54609.4,54629.7,54602.8,54629.1,0.59351789,OKEX.BTC-USDT,1613758260,2021-02-20 02:11:00,2021-02-20,1613750400,1617200865,1617200865,1,32417.5020133825,1min
54598.9,54622.8,54598.9,54603.1,2.05085,OKEX.BTC-USDT,1613758200,2021-02-20 02:10:00,2021-02-20,1613750400,1617200865,1617200865,1,111978.46085,1min
54619,54660.3,54562.7,54599.1,4.45320274,OKEX.BTC-USDT,1613758140,2021-02-20 02:09:00,2021-02-20,1613750400,1617200865,1617200865,1,243185.171088797,1min
54656.7,54697.5,54622.8,54622.8,1.98720315,OKEX.BTC-USDT,1613758080,2021-02-20 02:08:00,2021-02-20,1613750400,1617200865,1617200865,1,108580.2833152125,1min
54619.1,54672.6,54618.9,54672.6,1.89095135,OKEX.BTC-USDT,1613758020,2021-02-20 02:07:00,2021-02-20,1613750400,1617200865,1617200865,1,103332.6438293975,1min
54638.2,54642.2,54564.5,54607.1,3.73804398,OKEX.BTC-USDT,1613757960,2021-02-20 02:06:00,2021-02-20,1613750400,1617200865,1617200865,1,204181.868004147,1min
54726.7,54726.7,54626.5,54639.1,3.03693452,OKEX.BTC-USDT,1613757900,2021-02-20 02:05:00,2021-02-20,1613750400,1617200865,1617200865,1,166068.386663708,1min
54637.8,54730,54637.8,54725.3,7.05460131,OKEX.BTC-USDT,1613757840,2021-02-20 02:04:00,2021-02-20,1613750400,1617200865,1617200865,1,385756.5342628305,1min
54716.5,54716.5,54635.1,54636.4,3.72036551,OKEX.BTC-USDT,1613757780,2021-02-20 02:03:00,2021-02-20,1613750400,1617200865,1617200865,1,203416.3787892395,1min
