,para,equity_curve
3104,"[690, 4.9]",1.4037954966724877
2017,"[450, 4.2]",1.4029880268833128
1975,"[440, 4.5]",1.3923530175580785
2291,"[510, 4.6]",1.3921431526895796
3193,"[710, 4.8]",1.3899161691417825
1974,"[440, 4.4]",1.3837932602261684
3282,"[730, 4.7]",1.3752594338334758
3238,"[720, 4.8]",1.3734203897103523
2924,"[650, 4.9]",1.3696369466043885
3417,"[760, 4.7]",1.3592260881574243
3644,"[810, 4.9]",1.3590416529019376
3461,"[770, 4.6]",1.3564207140566713
2463,"[550, 3.8]",1.3532146404262964
2113,"[470, 4.8]",1.3501859474236244
1703,"[380, 4.3]",1.3495470592889278
3506,"[780, 4.6]",1.3441495708571285
2786,"[620, 4.6]",1.3338954584292142
2288,"[510, 4.3]",1.3307362560187062
3462,"[770, 4.7]",1.3223367559803236
3732,"[830, 4.7]",1.3127599478083407
3327,"[740, 4.7]",1.3124035848183149
2920,"[650, 4.5]",1.3098577586349276
2023,"[450, 4.8]",1.3088330527827023
3239,"[720, 4.9]",1.3004031479710012
3596,"[800, 4.6]",1.2940980833528495
2419,"[540, 3.9]",1.287802572382731
2775,"[620, 3.5]",1.284241934111763
2876,"[640, 4.6]",1.2832509633312987
3777,"[840, 4.7]",1.28140397648099
1566,"[350, 4.1]",1.278047853789044
3283,"[730, 4.8]",1.271575394195867
3284,"[730, 4.9]",1.271575394195867
2018,"[450, 4.3]",1.268320084951356
2336,"[520, 4.6]",1.2518611421363997
1934,"[430, 4.9]",1.2439635514348766
1439,"[320, 4.9]",1.2439523533696328
3057,"[680, 4.7]",1.2389752446378761
2597,"[580, 3.7]",1.2280885653713853
3058,"[680, 4.8]",1.2235765879002602
3043,"[680, 3.3]",1.2233404247732265
1654,"[370, 3.9]",1.2219372518492089
3328,"[740, 4.8]",1.2204927264216359
3013,"[670, 4.8]",1.2154266123322506
2787,"[620, 4.7]",1.2126475382858082
2822,"[630, 3.7]",1.2102591706400536
2697,"[600, 4.7]",1.205709913951439
2968,"[660, 4.8]",1.2055054121550832
2381,"[530, 4.6]",1.19573318522588
1791,"[400, 4.1]",1.186620575543897
2783,"[620, 4.3]",1.1749922630302982
2772,"[620, 3.2]",1.1719934242149714
1793,"[400, 4.3]",1.1691980185794808
