,para,equity_curve
3637,"[810, 4.2]",1.0091508928307327
3547,"[790, 4.2]",1.0079827718841095
87,"[20, 4.7]",1.0
30,"[10, 3.5]",1.0
28,"[10, 3.3]",1.0
27,"[10, 3.2]",1.0
26,"[10, 3.1]",1.0
25,"[10, 3.0]",1.0
84,"[20, 4.4]",1.0
85,"[20, 4.5]",1.0
31,"[10, 3.6]",1.0
86,"[20, 4.6]",1.0
88,"[20, 4.8]",1.0
89,"[20, 4.9]",1.0
32,"[10, 3.7]",1.0
33,"[10, 3.8]",1.0
34,"[10, 3.9]",1.0
35,"[10, 4.0]",1.0
36,"[10, 4.1]",1.0
37,"[10, 4.2]",1.0
38,"[10, 4.3]",1.0
39,"[10, 4.4]",1.0
40,"[10, 4.5]",1.0
41,"[10, 4.6]",1.0
42,"[10, 4.7]",1.0
43,"[10, 4.8]",1.0
44,"[10, 4.9]",1.0
29,"[10, 3.4]",1.0
3592,"[800, 4.2]",0.9676466145477151
3412,"[760, 4.2]",0.9009728562375545
83,"[20, 4.3]",0.8346166829112089
4355,"[970, 4.0]",0.7964035898174829
4000,"[890, 4.5]",0.79074184725869
4400,"[980, 4.0]",0.775706857999435
4045,"[900, 4.5]",0.7664128661116049
3368,"[750, 4.3]",0.743582720489255
3279,"[730, 4.4]",0.7372394278584464
3369,"[750, 4.4]",0.7019091474922811
4135,"[920, 4.5]",0.6993833930218473
4445,"[990, 4.0]",0.6979654772025091
3683,"[820, 4.3]",0.6638179150234538
3143,"[700, 4.3]",0.6477167836396952
3324,"[740, 4.4]",0.6344632867186958
4090,"[910, 4.5]",0.6316245197829901
3278,"[730, 4.3]",0.6237671144081866
3323,"[740, 4.3]",0.6204726202551742
3773,"[840, 4.3]",0.6203470325964089
4454,"[990, 4.9]",0.6148567376028545
4405,"[980, 4.5]",0.6090739737876187
4310,"[960, 4.0]",0.5971608665771927
4356,"[970, 4.1]",0.5949583391764909
3099,"[690, 4.4]",0.5946402686097668
3910,"[870, 4.5]",0.5926481272373816
3772,"[840, 4.2]",0.5903022044548071
3098,"[690, 4.3]",0.5878730303714147
3503,"[780, 4.3]",0.5877698507324579
4316,"[960, 4.6]",0.5870770740405805
4180,"[930, 4.5]",0.5834021087367454
3818,"[850, 4.3]",0.5707826346082592
4225,"[940, 4.5]",0.570302751085992
3639,"[810, 4.4]",0.5702281404096747
3413,"[760, 4.3]",0.567666701284521
3502,"[780, 4.2]",0.5673262514043002
3728,"[830, 4.3]",0.5626493559787074
3955,"[880, 4.5]",0.5616459689449367
4132,"[920, 4.2]",0.5493271138095212
3367,"[750, 4.2]",0.5455410343066618
4136,"[920, 4.6]",0.537905125892448
4401,"[980, 4.1]",0.5359516486471715
4319,"[960, 4.9]",0.532890599878433
4315,"[960, 4.5]",0.5292942927221417
4184,"[930, 4.9]",0.5252182206673953
4446,"[990, 4.1]",0.5226467478598444
3906,"[870, 4.1]",0.5197541923784682
4229,"[940, 4.9]",0.5197335366439779
3638,"[810, 4.3]",0.5195197659362829
3411,"[760, 4.1]",0.5100852687158224
4271,"[950, 4.6]",0.499495062431836
3144,"[700, 4.4]",0.49931102634227936
4181,"[930, 4.6]",0.498082826350915
3189,"[710, 4.4]",0.4959645803158903
4044,"[900, 4.4]",0.4941938135769557
3999,"[890, 4.4]",0.49237289043779947
3414,"[760, 4.4]",0.4865074725472187
4447,"[990, 4.2]",0.4834164219419924
4274,"[950, 4.9]",0.48330898557689944
3458,"[770, 4.3]",0.48140797146919656
4360,"[970, 4.5]",0.4761387708173679
3682,"[820, 4.2]",0.4758335417817548
3954,"[880, 4.4]",0.4756889673831011
4450,"[990, 4.5]",0.4756795343814996
3865,"[860, 4.5]",0.4743812590002253
4311,"[960, 4.1]",0.46837323423828464
3457,"[770, 4.2]",0.46789432472168785
4226,"[940, 4.6]",0.46748921494198636
3863,"[860, 4.3]",0.4665016815243817
3548,"[790, 4.3]",0.46361675025831867
3998,"[890, 4.3]",0.46359687400391386
4091,"[910, 4.6]",0.4607216202129988
