,para,equity_curve
3790,"[850, 1.5]",41.32240923517724
3880,"[870, 1.5]",35.3611128438759
3835,"[860, 1.5]",34.94219645080368
3791,"[850, 1.6]",33.22376256374682
3836,"[860, 1.6]",28.509289789673314
3655,"[820, 1.5]",26.471328532298102
3700,"[830, 1.5]",26.172221434762864
3745,"[840, 1.5]",26.045651986199545
3881,"[870, 1.6]",25.63614868029863
2105,"[470, 4.0]",25.278517731107815
3926,"[880, 1.6]",24.85103853662422
4147,"[930, 1.2]",24.684119508576813
4192,"[940, 1.2]",23.86544897847728
3971,"[890, 1.6]",23.793001437485877
2150,"[480, 4.0]",23.168697522776412
2195,"[490, 4.0]",23.109024695463727
3792,"[850, 1.7]",22.897134336045394
4417,"[990, 1.2]",22.48708187294395
4148,"[930, 1.3]",21.67859735656834
2691,"[600, 4.1]",21.32506511293069
3656,"[820, 1.6]",20.48725573861719
2736,"[610, 4.1]",20.369039080636227
2781,"[620, 4.1]",20.337028645903438
3701,"[830, 1.6]",20.24189312665767
3746,"[840, 1.6]",19.291388433625634
2060,"[460, 4.0]",19.149101921568146
3837,"[860, 1.7]",18.780562152225826
3793,"[850, 1.8]",18.66619430437689
2692,"[600, 4.2]",18.59412236099717
2782,"[620, 4.2]",18.272077611200174
3882,"[870, 1.7]",18.263389443105172
4372,"[980, 1.2]",18.208309043898822
2194,"[490, 3.9]",18.163912969523523
2917,"[650, 4.2]",17.984975311968213
2101,"[470, 3.6]",17.77442060770999
3007,"[670, 4.2]",17.65674629097952
3927,"[880, 1.7]",17.612907722604035
2056,"[460, 3.6]",17.510511603271222
4418,"[990, 1.3]",17.435801576411304
2239,"[500, 3.9]",17.264017354965173
3052,"[680, 4.2]",16.919879658208732
2240,"[500, 4.0]",16.884432567853175
3780,"[850, 0.5]",16.86856304197051
3925,"[880, 1.5]",16.86747445105471
4016,"[900, 1.6]",16.748333588724382
4193,"[940, 1.3]",16.703497351752695
4376,"[980, 1.6]",16.61828318988677
3053,"[680, 4.3]",16.600613238440143
2688,"[600, 3.8]",16.485483929019875
4237,"[950, 1.2]",16.40787216781982
2737,"[610, 4.2]",16.404800083118058
2061,"[460, 4.1]",16.362509146290893
2285,"[510, 4.0]",16.291305728213693
2872,"[640, 4.2]",16.25586216845852
2827,"[630, 4.2]",16.25586216845852
3838,"[860, 1.8]",16.23782053705285
2191,"[490, 3.6]",16.118493635053195
4282,"[960, 1.2]",15.989034606777704
4373,"[980, 1.3]",15.986729369257988
2146,"[480, 3.6]",15.967773715162915
3794,"[850, 1.9]",15.66044149305625
3781,"[850, 0.6]",15.622878660376177
3008,"[670, 4.3]",15.530867410801948
3883,"[870, 1.8]",15.528397822938269
3970,"[890, 1.5]",15.507521669800003
4327,"[970, 1.2]",15.433435493551382
2057,"[460, 3.7]",15.423799222752747
2058,"[460, 3.8]",15.402140554497574
4061,"[910, 1.6]",15.360883559721282
4421,"[990, 1.6]",15.333009550274774
3521,"[790, 1.6]",15.277181606064817
3476,"[780, 1.6]",15.277181606064817
2279,"[510, 3.4]",15.05950356613925
4151,"[930, 1.6]",15.00282497348294
2106,"[470, 4.1]",15.001016673346578
4419,"[990, 1.4]",14.955680314691762
2059,"[460, 3.9]",14.871709031334417
2102,"[470, 3.7]",14.783860192888524
2104,"[470, 3.9]",14.783860192888524
2103,"[470, 3.8]",14.783860192888524
2690,"[600, 4.0]",14.722664315114805
4149,"[930, 1.4]",14.699455300942827
4196,"[940, 1.6]",14.587029662246728
3142,"[700, 4.2]",14.57619411071207
4106,"[920, 1.6]",14.547449605491144
2189,"[490, 3.4]",14.410905585259856
2099,"[470, 3.4]",14.407455015774392
4238,"[950, 1.3]",14.390671226351154
4194,"[940, 1.4]",14.326541057391598
2236,"[500, 3.6]",14.288844804959147
4015,"[900, 1.5]",14.274933527313127
3097,"[690, 4.2]",14.2558607334533
2735,"[610, 4.0]",14.223664133197966
2873,"[640, 4.3]",14.222738797700508
2918,"[650, 4.3]",14.120101999984302
3657,"[820, 1.7]",14.110518840421665
2375,"[530, 4.0]",14.1085741443206
2780,"[620, 4.0]",14.040531381025183
2963,"[660, 4.3]",14.035574206556214
3702,"[830, 1.7]",14.003095229913145
3972,"[890, 1.7]",13.855077978657526
3098,"[690, 4.3]",13.772886995090875
2151,"[480, 4.1]",13.724161855171424
2192,"[490, 3.7]",13.697568049621617
2147,"[480, 3.7]",13.573130075965548
3747,"[840, 1.7]",13.561532084468332
2148,"[480, 3.8]",13.554070185645799
2234,"[500, 3.4]",13.458203683540084
3839,"[860, 1.9]",13.418492406145395
3566,"[800, 1.6]",13.39776870024926
3610,"[810, 1.5]",13.259731369112005
4413,"[990, 0.8]",13.256535772874576
4102,"[920, 1.2]",13.249078584572317
2329,"[520, 3.9]",13.230952384078897
2443,"[550, 1.8]",13.130283592340703
4412,"[990, 0.7]",13.097236137054894
3968,"[890, 1.3]",13.079583345260815
3782,"[850, 0.7]",13.062951270246703
2420,"[540, 4.0]",13.06256546168101
2870,"[640, 4.0]",13.019618674029132
4283,"[960, 1.3]",12.960641072937046
2915,"[650, 4.0]",12.947022050738626
4017,"[900, 1.7]",12.934433918342103
4374,"[980, 1.4]",12.866596247897824
3005,"[670, 4.0]",12.849752222180559
3736,"[840, 0.6]",12.848966219379825
2284,"[510, 3.9]",12.805121086103568
2825,"[630, 4.0]",12.62309018009941
2193,"[490, 3.8]",12.614702422583209
1970,"[440, 4.0]",12.611729513846509
3690,"[830, 0.5]",12.56697934334152
3969,"[890, 1.4]",12.551743246068268
2149,"[480, 3.9]",12.50010193276972
2826,"[630, 4.1]",12.491241979070635
2871,"[640, 4.1]",12.491241979070635
2685,"[600, 3.5]",12.471118179862069
3691,"[830, 0.6]",12.44851352741799
2916,"[650, 4.1]",12.416691476978274
2017,"[450, 4.2]",12.40153553135113
2327,"[520, 3.7]",12.34622368919789
3006,"[670, 4.1]",12.317990403605542
4416,"[990, 1.1]",12.308160452665746
4420,"[990, 1.5]",12.283916440449405
2465,"[550, 4.0]",12.23750887725494
3051,"[680, 4.1]",12.178023698479521
4328,"[970, 1.3]",12.167455394033317
4422,"[990, 1.7]",12.081793676786864
2144,"[480, 3.4]",12.04863581863486
2237,"[500, 3.7]",12.00659171257938
3467,"[780, 0.7]",11.998987074083301
3795,"[850, 2.0]",11.993858131687379
2238,"[500, 3.8]",11.989731613259982
2281,"[510, 3.6]",11.965669557494644
3735,"[840, 0.5]",11.960873857927982
4152,"[930, 1.7]",11.874092287479295
2510,"[560, 4.0]",11.864164985833511
2689,"[600, 3.9]",11.831742329299495
2693,"[600, 4.3]",11.813581317564271
2015,"[450, 4.0]",11.78845478804845
4331,"[970, 1.6]",11.775895727033099
2960,"[660, 4.0]",11.741688249865932
4058,"[910, 1.3]",11.69764314350001
4241,"[950, 1.6]",11.695971322814588
3834,"[860, 1.4]",11.651352817438447
2282,"[510, 3.7]",11.568548870439344
2283,"[510, 3.8]",11.568548870439344
3645,"[820, 0.5]",11.502538083821467
3871,"[870, 0.6]",11.497992833996369
2555,"[570, 4.0]",11.49147898167475
3658,"[820, 1.8]",11.484628887983447
3692,"[830, 0.7]",11.448563549794718
4005,"[900, 0.5]",11.43255443429546
2734,"[610, 3.9]",11.432543830258732
4014,"[900, 1.4]",11.39993753349288
2738,"[610, 4.3]",11.392098865791914
2556,"[570, 4.1]",11.35519214579588
4366,"[980, 0.6]",11.300995436467934
2779,"[620, 3.9]",11.287634349173302
2374,"[530, 3.9]",11.277748599222802
3512,"[790, 0.7]",11.270698664001772
3928,"[880, 1.8]",11.25598892764395
2783,"[620, 4.3]",11.23983583956838
3611,"[810, 1.6]",11.225684563284151
4286,"[960, 1.6]",11.22373228791817
3703,"[830, 1.8]",11.197142338290424
2962,"[660, 4.2]",11.138214828575567
2961,"[660, 4.1]",11.138214828575567
2330,"[520, 4.0]",11.128755555837296
4062,"[910, 1.7]",11.109075473029606
3186,"[710, 4.1]",11.079839854990158
4239,"[950, 1.4]",10.991597741138284
3879,"[870, 1.4]",10.956474854419895
4103,"[920, 1.3]",10.956444638163491
2739,"[610, 4.4]",10.935703980937522
3924,"[880, 1.4]",10.927146478969968
3748,"[840, 1.8]",10.879358644223863
4013,"[900, 1.3]",10.871773640439278
2487,"[560, 1.7]",10.87147373478539
3973,"[890, 1.8]",10.80523691923489
2784,"[620, 4.4]",10.789540977821193
4150,"[930, 1.5]",10.785020166498446
4197,"[940, 1.7]",10.770698764158734
4411,"[990, 0.6]",10.736622412375434
2488,"[560, 1.8]",10.704651857389315
2600,"[580, 4.0]",10.678401400334232
2196,"[490, 4.1]",10.646863558316108
3141,"[700, 4.1]",10.626578386905688
3886,"[870, 2.1]",10.573543061795029
2601,"[580, 4.1]",10.568676120187561
2646,"[590, 4.1]",10.568676120187561
4375,"[980, 1.5]",10.537494064182395
4284,"[960, 1.4]",10.523794353371084
2372,"[530, 3.7]",10.523626937399516
2370,"[530, 3.5]",10.493469905040513
2331,"[520, 4.1]",10.478973572329725
3096,"[690, 4.1]",10.374719652123801
2687,"[600, 3.7]",10.293068687769274
3826,"[860, 0.6]",10.290641366551899
2419,"[540, 3.9]",10.252159149135052
3975,"[890, 2.0]",10.212056326574421
2190,"[490, 3.5]",10.193996640443244
1968,"[440, 3.8]",10.147322128809895
3916,"[880, 0.6]",10.135557496620848
4329,"[970, 1.4]",10.115238033710543
3432,"[770, 1.7]",10.110823301505837
3930,"[880, 2.0]",10.102948294504749
2241,"[500, 4.1]",10.10252054703881
2397,"[540, 1.7]",10.101566724087226
3931,"[880, 2.1]",10.0644773426409
2824,"[630, 3.9]",10.042110814790192
3143,"[700, 4.3]",10.03572094678716
2532,"[570, 1.7]",10.032057039193907
3477,"[780, 1.7]",10.017758722335952
4107,"[920, 1.7]",10.012668253042957
2828,"[630, 4.3]",9.997335535763177
2398,"[540, 1.8]",9.974363911644124
4377,"[980, 1.7]",9.961934232437477
2013,"[450, 3.8]",9.952732461433296
2464,"[550, 3.9]",9.950870381814113
2732,"[610, 3.7]",9.945784453856811
3960,"[890, 0.5]",9.938262194507777
3737,"[840, 0.7]",9.93593972608582
4018,"[900, 1.8]",9.923963559152659
1880,"[420, 4.0]",9.914806683368546
4059,"[910, 1.4]",9.909424470788931
3165,"[710, 2.0]",9.90913227720048
3796,"[850, 2.1]",9.908812227719146
1965,"[440, 3.5]",9.837364162327981
4060,"[910, 1.5]",9.834712770463463
4368,"[980, 0.8]",9.804468407783771
1969,"[440, 3.9]",9.75869090359436
2286,"[510, 4.1]",9.747632927311136
4105,"[920, 1.5]",9.639161026164398
4423,"[990, 1.8]",9.632848774880365
2777,"[620, 3.7]",9.599313652456006
4195,"[940, 1.5]",9.579499805056466
2417,"[540, 3.7]",9.56812564894926
3390,"[760, 2.0]",9.551575260597865
1971,"[440, 4.1]",9.547101450519666
3884,"[870, 1.9]",9.546084042424786
3199,"[720, 0.9]",9.497525113699242
3841,"[860, 2.1]",9.492728379038741
3187,"[710, 4.2]",9.457588275123078
2016,"[450, 4.1]",9.454286241575256
2053,"[460, 3.3]",9.436513581860465
2098,"[470, 3.3]",9.383546201120843
3929,"[880, 1.9]",9.377364235148017
2521,"[570, 0.6]",9.376935905999554
1879,"[420, 3.9]",9.339849211100608
2462,"[550, 3.7]",9.286469489150258
2014,"[450, 3.9]",9.28275219201769
3188,"[710, 4.3]",9.20068235989767
2328,"[520, 3.8]",9.188797995925514
1972,"[440, 4.2]",9.184081752056912
3210,"[720, 2.0]",9.164865547492843
2776,"[620, 3.6]",9.15917003393048
1966,"[440, 3.6]",9.134791931951712
2100,"[470, 3.5]",9.133285139065777
3522,"[790, 1.7]",9.111647174145796
4153,"[930, 1.8]",9.092445898515692
1925,"[430, 4.0]",9.083172576399546
3803,"[850, 2.8]",9.076980086880805
2553,"[570, 3.8]",9.067349931701726
2508,"[560, 3.8]",9.063739978408293
2054,"[460, 3.4]",9.051327381561078
4141,"[930, 0.6]",9.045212527251934
4242,"[950, 1.7]",9.00005210616734
2731,"[610, 3.6]",8.987112280467118
4020,"[900, 2.0]",8.98463972924274
2011,"[450, 3.6]",8.957063675897153
2667,"[600, 1.7]",8.932286268976895
2376,"[530, 4.1]",8.903576730643866
3974,"[890, 1.9]",8.885697457635757
2686,"[600, 3.6]",8.868065908880737
3976,"[890, 2.1]",8.864493614463603
4287,"[960, 1.7]",8.856946478386734
2008,"[450, 3.3]",8.831121098341022
4426,"[990, 2.1]",8.773720760473271
2668,"[600, 1.8]",8.76912904372406
2442,"[550, 1.7]",8.745015027271345
3255,"[730, 2.0]",8.720603223376242
3647,"[820, 0.7]",8.71892468845704
3090,"[690, 3.5]",8.69989035421266
3825,"[860, 0.5]",8.695127749774285
2533,"[570, 1.8]",8.656035385690162
4382,"[980, 2.2]",8.651089829920686
4186,"[940, 0.6]",8.620657166797676
2566,"[580, 0.6]",8.611504810665517
3435,"[770, 2.0]",8.594897432774252
3180,"[710, 3.5]",8.587525826785201
4063,"[910, 1.8]",8.578121021595729
2377,"[530, 4.2]",8.548537402346517
2055,"[460, 3.5]",8.495620856110127
3511,"[790, 0.6]",8.492613115708197
2598,"[580, 3.8]",8.419121230956176
2643,"[590, 3.8]",8.419121230956176
3001,"[670, 3.6]",8.388053165928108
2145,"[480, 3.5]",8.38069011524913
3659,"[820, 1.9]",8.32746152163766
4198,"[940, 1.8]",8.322052212275654
2578,"[580, 1.8]",8.296079844929375
2441,"[550, 1.6]",8.289707309346921
3890,"[870, 2.5]",8.28744384023691
3797,"[850, 2.2]",8.286450363785143
4240,"[950, 1.5]",8.28326312867508
4108,"[920, 1.8]",8.268460553819029
1924,"[430, 3.9]",8.254814043823796
3749,"[840, 1.9]",8.252238762167213
2421,"[540, 4.1]",8.24682095392734
4231,"[950, 0.6]",8.241659404690283
3845,"[860, 2.5]",8.236886915869421
3209,"[720, 1.9]",8.229299476103213
3144,"[700, 4.4]",8.224420673270846
4424,"[990, 1.9]",8.21988640333514
3704,"[830, 1.9]",8.219487924769355
3135,"[700, 3.5]",8.210968678845248
4019,"[900, 1.9]",8.208652047577631
3480,"[780, 2.0]",8.193267657235927
2444,"[550, 1.9]",8.166652328298625
2644,"[590, 3.9]",8.15786477963412
4276,"[960, 0.6]",8.145594389386902
3935,"[880, 2.5]",8.138364631027185
3046,"[680, 3.6]",8.06552131183134
3525,"[790, 2.0]",8.06545470836073
3827,"[860, 0.7]",8.04297484251122
2611,"[590, 0.6]",8.024837851250943
4321,"[970, 0.6]",8.013613934576563
3646,"[820, 0.6]",8.010671774110957
2511,"[560, 4.1]",8.010494739585587
2466,"[550, 4.1]",8.004464735751137
4065,"[910, 2.0]",7.999868036854515
3567,"[800, 1.7]",7.993808454986222
1967,"[440, 3.7]",7.990678411091787
4154,"[930, 1.9]",7.986770574275297
3870,"[870, 0.5]",7.975832412445501
2577,"[580, 1.7]",7.975502032760835
3254,"[730, 1.9]",7.96938961244725
3556,"[800, 0.6]",7.935235684989046
2422,"[540, 4.2]",7.917970441302091
2486,"[560, 1.6]",7.90000929797913
4378,"[980, 1.8]",7.896571178602524
4414,"[990, 0.9]",7.888125789921004
3872,"[870, 0.7]",7.871333065237611
4064,"[910, 1.9]",7.833283877065171
2373,"[530, 3.8]",7.8323124986670845
2697,"[600, 4.7]",7.812952393244156
2696,"[600, 4.6]",7.812952393244156
2698,"[600, 4.8]",7.812952393244156
2699,"[600, 4.9]",7.812952393244156
3840,"[860, 2.0]",7.795743647772742
4380,"[980, 2.0]",7.794884846217567
4104,"[920, 1.4]",7.790064870274916
2235,"[500, 3.5]",7.768777578837645
3557,"[800, 0.7]",7.759588774590516
1926,"[430, 4.1]",7.75161939166292
1927,"[430, 4.2]",7.75161939166292
4425,"[990, 2.0]",7.7450619490991
1881,"[420, 4.1]",7.733029628866806
2645,"[590, 4.0]",7.712245658779419
3300,"[740, 2.0]",7.705683568335663
4415,"[990, 1.0]",7.7000578354436575
3885,"[870, 2.0]",7.689780882158795
3433,"[770, 1.8]",7.645806382185881
3961,"[890, 0.6]",7.6052587676888095
1882,"[420, 4.2]",7.598184013471354
3387,"[760, 1.7]",7.587050929427972
2956,"[660, 3.6]",7.586936770990866
2665,"[600, 1.5]",7.555137406080658
2744,"[610, 4.9]",7.548626885146701
2742,"[610, 4.7]",7.548626885146701
2743,"[610, 4.8]",7.548626885146701
3189,"[710, 4.4]",7.5400942902030526
2866,"[640, 3.6]",7.520826509391803
3346,"[750, 2.1]",7.455366277182728
2622,"[590, 1.7]",7.448404562009303
2788,"[620, 4.8]",7.440911241934076
2787,"[620, 4.7]",7.440911241934076
2789,"[620, 4.9]",7.440911241934076
2712,"[610, 1.7]",7.408747636720833
2730,"[610, 3.5]",7.404943200462023
2878,"[640, 4.8]",7.400596389805163
2879,"[640, 4.9]",7.400596389805163
2877,"[640, 4.7]",7.400596389805163
2832,"[630, 4.7]",7.400596389805163
2833,"[630, 4.8]",7.400596389805163
2834,"[630, 4.9]",7.400596389805163
3333,"[750, 0.8]",7.365671742926316
4369,"[980, 0.9]",7.349569147154779
2775,"[620, 3.5]",7.32048987135646
4285,"[960, 1.5]",7.293444413513893
1921,"[430, 3.6]",7.288260966344197
3244,"[730, 0.9]",7.281926295961747
3345,"[750, 2.0]",7.2682476169609105
2911,"[650, 3.6]",7.2676100420989656
2733,"[610, 3.8]",7.258605173840302
3783,"[850, 0.8]",7.255322518164337
3299,"[740, 1.9]",7.217108761740573
3917,"[880, 0.7]",7.19876435795827
2280,"[510, 3.5]",7.183603275896116
3322,"[740, 4.2]",7.163385661889149
4110,"[920, 2.0]",7.128588348067456
2418,"[540, 3.8]",7.120048255697837
3466,"[780, 0.6]",7.108523532820649
4050,"[910, 0.5]",7.1016959591745765
3136,"[700, 3.6]",7.101692558503783
2922,"[650, 4.7]",7.09005094493462
2924,"[650, 4.9]",7.09005094493462
2923,"[650, 4.8]",7.09005094493462
4332,"[970, 1.7]",7.084691380979263
3842,"[860, 2.2]",7.0679851832189975
4379,"[980, 1.9]",7.066715423972184
4006,"[900, 0.6]",7.059527181295475
