,para,equity_curve
4089,"[910, 4.4]",12.662505697745065
4088,"[910, 4.3]",12.662505697745065
4133,"[920, 4.3]",12.566054811292197
4134,"[920, 4.4]",12.566054811292197
4082,"[910, 3.7]",12.263541055971189
4444,"[990, 3.9]",11.951131179188154
4178,"[930, 4.3]",11.946976116135572
4127,"[920, 3.7]",11.82010795017169
3998,"[890, 4.3]",11.63306968515225
4220,"[940, 4.0]",11.431082138112156
4445,"[990, 4.0]",11.375274256591501
4179,"[930, 4.4]",11.362386324256219
4043,"[900, 4.3]",11.338511109628396
4310,"[960, 4.0]",11.338046263909948
4265,"[950, 4.0]",11.338046263909948
4223,"[940, 4.3]",11.32207128937899
4224,"[940, 4.4]",11.297925653968331
4313,"[960, 4.3]",11.229922638231097
4268,"[950, 4.3]",11.229922638231097
4399,"[980, 3.9]",11.189953804973893
4448,"[990, 4.3]",11.147062308987948
4269,"[950, 4.4]",11.112655483867531
4172,"[930, 3.7]",11.021082592858104
4355,"[970, 4.0]",10.947919079778613
4358,"[970, 4.3]",10.817589825530854
4217,"[940, 3.7]",10.721849995672676
4400,"[980, 4.0]",10.650773683400924
4307,"[960, 3.7]",10.636049463470302
4262,"[950, 3.7]",10.636049463470302
4131,"[920, 4.1]",10.616964064011508
4403,"[980, 4.3]",10.523981789781201
4083,"[910, 3.8]",10.392997800509825
4084,"[910, 3.9]",10.392997800509825
4128,"[920, 3.8]",10.315146536537947
4087,"[910, 4.2]",10.078463834545573
4129,"[920, 3.9]",9.735147199473513
4085,"[910, 4.0]",9.70025437384204
4173,"[930, 3.8]",9.577735593511095
3991,"[890, 3.6]",9.486965199828889
4130,"[920, 4.0]",9.452101404105452
4218,"[940, 3.8]",9.370347453626382
3993,"[890, 3.8]",9.328209631705354
4176,"[930, 4.1]",9.291449936209057
4221,"[940, 4.1]",9.258482818426796
4038,"[900, 3.8]",9.257513212230634
4132,"[920, 4.2]",9.203068211234212
4266,"[950, 4.1]",9.183129406353336
4311,"[960, 4.1]",9.183129406353336
4174,"[930, 3.9]",9.090281780568274
4219,"[940, 3.9]",9.05856728365489
4308,"[960, 3.8]",8.98607700499574
