open,high,low,close,volume,symbol,time_stamp,datetime,date,date_stamp,created_at,updated_at,trade,amount,type
17948.6,17951.1,17938.8,17938.8,0.79966912,OKEX.BTC-USDT,1605809880,2020-11-20 02:18:00,2020-11-20,1605801600,1617201487,1617201487,1,14349.022788543998,1min
17965.7,17965.7,17945.4,17950.3,0.67840784,OKEX.BTC-USDT,1605809820,2020-11-20 02:17:00,2020-11-20,1605801600,1617201487,1617201487,1,12182.84799072,1min
17966.4,17968.9,17961.5,17966.5,0.5100306,OKEX.BTC-USDT,1605809760,2020-11-20 02:16:00,2020-11-20,1605801600,1617201487,1617201487,1,9163.43927337,1min
17962.9,17967.6,17955.5,17965,0.60246929,OKEX.BTC-USDT,1605809700,2020-11-20 02:15:00,2020-11-20,1605801600,1617201487,1617201487,1,10822.7282020955,1min
17959.1,17971.9,17958,17963,0.43799859,OKEX.BTC-USDT,1605809640,2020-11-20 02:14:00,2020-11-20,1605801600,1617201487,1617201487,1,7866.9145749195,1min
17950.5,17965.7,17949,17959.5,0.66059715,OKEX.BTC-USDT,1605809580,2020-11-20 02:13:00,2020-11-20,1605801600,1617201487,1617201487,1,11861.021828249999,1min
17947.9,17952.8,17938.9,17952.8,1.82957385,OKEX.BTC-USDT,1605809520,2020-11-20 02:12:00,2020-11-20,1605801600,1617201487,1617201487,1,32841.4909583475,1min
17948.2,17952.8,17938.9,17947.9,1.24922646,OKEX.BTC-USDT,1605809460,2020-11-20 02:11:00,2020-11-20,1605801600,1617201487,1617201487,1,22421.178965403004,1min
17965,17975.8,17947.6,17947.6,4.10483455,OKEX.BTC-USDT,1605809400,2020-11-20 02:10:00,2020-11-20,1605801600,1617201487,1617201487,1,73707.64063016498,1min
17938.8,17964.9,17936.4,17964.9,7.23424114,OKEX.BTC-USDT,1605809340,2020-11-20 02:09:00,2020-11-20,1605801600,1617201487,1617201487,1,129868.01180910898,1min
17928.1,17938.8,17928.1,17938.8,2.01326872,OKEX.BTC-USDT,1605809280,2020-11-20 02:08:00,2020-11-20,1605801600,1617201487,1617201487,1,36104.853926683994,1min
17923.5,17944.4,17923.5,17929.1,5.16060073,OKEX.BTC-USDT,1605809220,2020-11-20 02:07:00,2020-11-20,1605801600,1617201487,1617201487,1,92510.476866199,1min
17913.5,17920.6,17905.6,17920.6,1.18275412,OKEX.BTC-USDT,1605809160,2020-11-20 02:06:00,2020-11-20,1605801600,1617201487,1617201487,1,21191.464705746,1min
17931.1,17931.1,17909.3,17916,0.9719572,OKEX.BTC-USDT,1605809100,2020-11-20 02:05:00,2020-11-20,1605801600,1617201487,1617201487,1,17420.92347206,1min
17943.3,17943.3,17932,17932.9,0.8693067,OKEX.BTC-USDT,1605809040,2020-11-20 02:04:00,2020-11-20,1605801600,1617201487,1617201487,1,15593.710515269999,1min
17947.5,17952.1,17935.4,17943.3,3.67844684,OKEX.BTC-USDT,1605808980,2020-11-20 02:03:00,2020-11-20,1605801600,1617201487,1617201487,1,66011.199922536,1min
17936.3,17950,17933,17949.7,3.6980983,OKEX.BTC-USDT,1605808920,2020-11-20 02:02:00,2020-11-20,1605801600,1617201487,1617201487,1,66354.9777969,1min
17934.6,17950,17933.9,17936.4,4.51122217,OKEX.BTC-USDT,1605808860,2020-11-20 02:01:00,2020-11-20,1605801600,1617201487,1617201487,1,80911.025230035,1min
